Date	Type	Country	Area	Location	Activity	Name	Sex 	Age	Fatal (Y/N)	Grad Injury	Location of Injury	Type of Shark	Size of Shark	Investigator or Source	pdf
2000-12-11	Boating	AUSTRALIA	South Australia	3 km off Port Victoria, Yorke Peninsula	Fishing for whiting	3.5 -metre fibreglass boat, occupants: Harry Ulbrich and another fisherman		0	N	No injury	Unknown	White shark	4.	The Dominion, 12/13/2000; Northern Territory News, 12/13/2000, p.9	boat
2000-12-05	Unprovoked	CANADA	New Brunswick	Bay of Fundy	Diving for sea urchins	Daniel MacDonald	M	30	N	No injury	Unknown	Porbeagle shark	3 m	A. Martin; Telegraph-Journal,  12/8/2000	MacDonald
2000-12-03	Unprovoked	AUSTRALIA	Queensland	Sykes Reef, Great Barrier Reef	Spearfishing	Chris Hogan	M	38	N	Injury	Unknown	whaler shark	2.	N. Leys; Daily Telegraph, 12/4/2000.p.3	ChrisHogan
	Unprovoked	NEW ZEALAND	Cook Islands	Arorangi, Rarotonga	Surfing	fe	F	0	Y	Fatal	Unknown	Unknown	Unknown	C. Tini, R.D. Weeks, GSAF	Arorangi
2000-11-21	Unprovoked	AUSTRALIA	Queensland	Orpheus Island	Diving (shell maintenance)	George Lyons	M	28	N	No injury	Unknown	Tiger shark	4 m	Courier-Mail, 11/24/2000, p.3	Lyons
2000-11-20	Invalid	AUSTRALIA	South Australia	Ceduna	Shipwrecked	Danny Thorpe	M	47		Fatal	Unknown	Unknown	Unknown	T. Peake, GSAF	Thorpe
2000-11-18	Unprovoked	USA	Florida	Bonita Springs, Lee County	Swimming	Colin Shadforth	M	73	N	Injury	Unknown	Unknown	1.	South Florida Sun Sentinel, 11/19/2000, p.6B	Shadforth
2000-11-10	Invalid	USA	Florida	Vaughn Beach, Flagler County	Walking	Eileen Skeie	F	27		No injury	Unknown	Unknown	Unknown	E. Skeie	Skeie
	Unprovoked	AUSTRALIA	Western Australia	Cottesloe Beach, Perth	Swimming	Dirk Avery	M	52	N	Injury	Unknown	White shark	4.	B. May, AAP; G. Thiel	bAvery
	Unprovoked	AUSTRALIA	Western Australia	Cottesloe Beach, Perth	Swimming	Ken Crew	M	49	Y	Fatal	Unknown	White shark	5 m	B. May, AAP; G. Thiel	aKenCrew
2000-11-04	Unprovoked	USA	California	1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County	Surfing	Casey Stewman	M	27	N	Injury	Both thigh	White shark	2.	J. Ramsay, California Fish & Game; R. Collier	Stewman
2000-10-29	Boat	AUSTRALIA	Queensland	Peel Island	Fishing 	boat, occupant: Paul Kelly		31	N	Injury	Unknown	White shark	Unknown	T. Peake, GSAF	Kelly
2000-10-20	Unprovoked	USA	Florida	Fort Pierce Inlet State Park, St Lucie County	Surfing	Jason Licamele	M	23	N	Injury	Unknown	Unknown	Unknown	Stuart News, 10/21/2000	Licamele
2000-10-18	Unprovoked	USA	Hawaii	Olowalu	Swimming / snorkeling	Henrietta Musselwhite	F	56	N	Injury	Unknown	Tiger shark	1.	GSAF	Musselwhite
2000-10-14	Unprovoked	USA	Florida	South Beach, Sebastian, Indian River County	Swimming	Norman Payne	M	69	N	Injury	hand	Unknown	Unknown	D. Robinson, Vero Beach Press Journal, 10/17/2000, p.A4	Payne
2000-10-09	Unprovoked	USA	Florida	Lake Worth Inlet/West Palm Beach, Palm Beach County	Surfing	Matt Kraskiewicz	M	17	N	Injury	Foot	Unknown	2.	South Florida Sun-Sentinel, 10/11/2000	Kraskiecwicz
	Unprovoked	USA	Florida	New Smyrna Beach, Volusia County	Surfing	Austin White	M	23	N	Injury	Unknown	Blacktip shark	2'	SharkSurvivor; M.I.Johnson, Daytona Beach News Journal, 10/7/2000, p.1A; Daytona News Journal, 10/8/2000, p.4B	bWhite
	Unprovoked	USA	Florida	New Smyrna Beach, Volusia County	Body surfing	Taylor Holley	M	11	N	Injury	Right foot	Unknown	Unknown	S. Petersohn, GSAF; M.I.Johnson, Daytona Beach News Journal, 10/7/2000, p.1A; Bradenton Herald 10/8/2000, 	aHolley
2000-10-02	Unprovoked	USA	North Carolina	Wrightsville Beach, New Hanover County	Surfing	Mark Taylor	M	24	N	Injury	Unknown	Unknown	Unknown	The State (Columbia), 10/6/2000, p.A6	Taylor
2000-09-29	Unprovoked	USA	California	Mavericks, Half Moon Bay, San Mateo County	Sitting on surfboard	Peck Euwer	M	0	N	No injury	Unknown	White shark	4.	P. Euwer, Ocean; D.W. Cole & M. DesJardins, Santa Cruz Sentinel	Euwer
2000-09-25	Unprovoked	AUSTRALIA	South Australia	Black Point, Eyre Peninsula	Surfing	Jevan Wright	M	17	Y	Fatal	Unknown	White shark	Unknown	T. Peake, GSAF	Wright
2000-09-24	Unprovoked	AUSTRALIA	South Australia	Cactus Beach near Penong	Surfing	Cameron Bayes	M	25	Y	Fatal	Unknown	White shark	4 m	T. Peake, GSAF	Bayes
2000-09-18	Provoked	AUSTRALIA	New South Wales	Wollongong	Fell onto dead shark	boy	M	12	N	Injury	Foot	blue shark	100	Illwara Mercury. 9/19/2000	boyprovoked
	Unprovoked	OKINAWA	Miyako Island	Sunayama Beach	Surfing	Takayuki Miura	M	31	Y	Fatal	Unknown	White shark	2.	M. Shimbun; japanupdate	bMiura
	Unprovoked	USA	South Carolina	Isle of Palms, Charleston County		nan		0	N	Injury	Unknown	Unknown	Unknown	C. Creswell, GSAF	aNVIsleOfPalms
2000-09-15	Unprovoked	USA	Florida	Fort Pierce Inlet, St Lucie County	Standing / surfing	Gary Smith	M	49	N	Injury	lower leg	Unknown	Unknown	SharkSurvivor.; The Stuart (FL) News, 9/19/2000	Smith
2000-09-12	Unprovoked	USA	Florida	Sebastian Inlet, Indian River or Brevard County	Surfing	Brenda Fried	F	26	N	Injury	Unknown	Unknown	Unknown	SharkSurvivor; Florida Today, 9/13/2000	Fried
2000-09-11	Unprovoked	USA	Florida	Daytona Beach Shores, Volusia County	Swimming / Body surfing	Jason Armstrong	M	25	N	Injury	Unknown	Unknown	60 	S. Petersohn, GSAF; Daytona  Beach News Journal, 9/12/2000, p.1.A; Orlando Sentinel, 9/12/2000, p.D2	Armstrong
	Unprovoked	USA	Florida	Vero Beach, Indian River County	Swimming		M	8	N	Minor injury	hand	Unknown	Unknown	Fort Pierce Tribune, 9/12/2000	bBoy
	Unprovoked	SOUTH AFRICA	Western Cape Province	Dyer Island	Free diving	Gary Adkison	M	48	N	Injury	Unknown	White shark	3.	E. Ritter, GSAF	aAdkinson
	Unprovoked	TANZANIA		Coco Beach, Dar-es-Salaam (Reported as the 5th fatality in 3 months at Coco Beach)	Swimming	Godfrey Msemwa	M	28	Y	Fatal	Unknown	Zambesi shark	Unknown	E. Matechi; A. Mbogora 	cMsemwa
	Unprovoked	USA	Florida	New Smyrna Beach, Volusia County	Wading	Terrill Crane	M	40	N	Injury	Left foot	Unknown	1.	S. Petersohn, GSAF; M. I. Johnson,  Daytona Beach News Journal, 9/19/2000, p.1A; Orlando Sentinel, 9/9/2000 , p.D2	bCrane
	Unprovoked	REUNION	Saint-Pierre	Pic du Diable 	Surfing	Karim Maan	M	27	N	Injury	Unknown	Tiger shark	3 m	Clicanoo, le journal  de l'Ile de la Réunion; Northern Territory News, 9/12/2000, p.6	aKarimMaan
	Unprovoked	TANZANIA		Coco Beach, Dar-es-Salaam	Swimming	nan		0	Y	Fatal	Unknown	Zambesi shark	Unknown	T. Thierry	CocoBeach
2000-08-31	Unprovoked	USA	Florida	New Smyrna Beach, Volusia County	Swimming	Rickey Johnson	M	47	N	Injury	right foot	Unknown	2'	S. Petersohn, GSAF	Johnson
2000-08-30	Unprovoked	USA	Florida	Boca Ciega Bay, Tampa, Pinellas County	Jumped into the water	Thaddeus Kubinski	M	69	Y	Fatal	Unknown	bull shark	2.	E. Ritter, GSAF; Charlotte Observer, 9/1/2000, p.4A; Orlando Sentinel, 8/31/2000, p.A19	Kubinski
	Provoked	USA	Alaska	Prince William Sound	Conducting research	Bruce Wright	M	0	N	Injury	Unknown	Salmon shark	Unknown	B.A. Wright	RBruceWright
2000-08-21	Unprovoked	USA	North Carolina	Bouges Bank, Emerald Isle, Carteret County	Swimming out to porpoises 		M	0	N	Injury	hand	Unknown	Unknown	C. Creswell, GSAF; Wilmington Morning Star; Charlotte Observer, 8/23/2000, p.2B	male
2000-08-15	Unprovoked	USA	Hawaii	Kanaha Beach, Maui	Windsurfing, but sitting on his board	Jean Alain Goenvec	M	53	N	Injury	Unknown	Tiger shark	3.	Maui.net	Goenvec
2000-08-13	Unprovoked	USA	Florida	South Jacksonville Beach, Duval County	Surfing / Wading	Jason Wuss	M	27	N	Injury	right foot	juvenile shark	Unknown	Florida Times-Union, 8/14/2000; Orlando Sentinel, 8/15/2000, p.D3	JasonWuss
2000-08-12	Unprovoked	USA	Florida	St. Augustine, St. Johns County	Standing	Margaret White	F	44	N	Injury	lower leg	Blacktip shark	2.	M. White	MargaretWhite
2000-08-11	Invalid	USA	North Carolina	Emerald Isle, Carteret County	Swimming 	Daniel Macatee	M	0		Fatal	Unknown	Unknown	Unknown	 F. Schwartz	Macatee
2000-08-10	Invalid	USA	Florida	Florida Keys	Attempting to illegally enter the USA	Juan & Alex Bueno	M	0		Fatal	Unknown	Unknown	Unknown	Press clippings	BuenoBrothers
	Unprovoked	TANZANIA		Coco Beach, Dar-es-Salaam	Swimming	nan		0	Y	Fatal	Unknown	Zambesi shark	Unknown	T. Thierry	NVTanzania
2000-07-25	Unprovoked	USA	Florida	New Smyrna Beach, Volusia County			M	5	N	Injury	left leg	Unknown	Unknown	M. Johnson, Daytona Beach News Journal	male
2000-07-22	Unprovoked	USA	Florida	Big Pine Key, Monroe County 	Snorkeling	Andrea Nani	F	45	N	Injury	Unknown	Nurse shark	1.	E. Ritter, GSAF	Nani
2000-07-17	Unprovoked	USA	North Carolina	Oceanic Pier, Wrightsville Beach, New Hanover County	Surfing	Patrick G. Bruff	M	16	N	Injury	Foot	Unknown	Unknown	C. Creswell, GSAF; Charlotte Observer, 7/20/2000, p.1A & 8/23/2000, p.2B; F. Schwartz, p.23	Bruff
	Unprovoked	USA	North Carolina	Holden Beach, Brunswick County	Surfing	Tim Poynter	M	14	N	Injury	Unknown	colored shark	1.	C. Creswell, GSAF; Charlotte Observer, 7/20/2000, p.1A	bPoynter
	Unprovoked	SOUTH AFRICA	Eastern Cape Province	Nahoon, East London	Surfing	Shannon Ainslie	M	15	N	Injury	Unknown	Unknown	Unknown	A. Gifford, GSAF; Orlando Sentinel, 7/19/2000, p.A11  	aAinslie
	Unprovoked	SOUTH AFRICA	Eastern Cape Province	Cape Recife	Surfing		M	18	N	No injury	Unknown	Unknown	Unknown	A. Gifford, GSAF	bNVCapeRecife
	Unprovoked	SOUTH AFRICA	KwaZulu-Natal	South of Durban	Surfing	Ian Barnes	M	0	N	Injury	Unknown	Unknown	Unknown	A. Gifford, GSAF	aBarnes
2000-07-12	Unprovoked	 TONGA	Minerva Reef	Treated at Nuku-alofa	Scuba diving	Christian Eckoff	M	69	N	Injury	Unknown	reef shark	2 m	www.spearfishingsa.co.za	Eckoff
2000-07-10	Unprovoked	USA	Florida	Daytona  Beach, Volusia County	Wading	M.A.	M	13	N	Injury	right foot	Unknown	Unknown	S. Petersohn, GSAF; M. I. Johnson; H. Frederick, Daytona Beach News Journal, 7/11/2000, p.1A	MA
2000-07-09	Unprovoked	USA	Florida	Neptune Avenue, Ormond Beach, Volusia County	Swimming 	Anthony Zent	M	41	N	Injury	Unknown	Unknown	Unknown	S. Petersohn, GSAF: H. Frederick, Daytona Beach News Journal, 7/11/2000, p.1A; Orlando Sentinel, 7/10/2000, p.C3; A. Givens, Orlando Sentinel, 7/11/2000, p.D1	Zent
2000-07-07	Unprovoked	USA	Texas	Mustang Island, Corpus Christi	Jumping	Robby Doolittle	M	5	N	Injury	Unknown	Lemon shark	2.	K. Hastings, Dallas Morning News	Doolittle
2000-07-06	Unprovoked	USA	North Carolina	Pine Island, Corolla, Currituck County	Playing	Ashley Walker	F	12	N	Injury	Unknown	Tiger shark	0.	Charlotte Observer, 7/20/2000, p.1A	Walker
	Unprovoked	USA	Florida	Daytona Beach, Volusia County	Wading	Niesha Peterson	F	20	N	Injury	inner thigh	Unknown	Unknown	S. Petersohn, GSAF	bPeterson
	Unprovoked	USA	Florida	Artifical reef 3 miles off Manatee Beach, Manatee County	Spearfishing, holding mesh bag with speared fish	Beverly Comstock	F	55	N	Injury	Unknown	Nurse shark	1.	V. Mannix, Bradenton Herald, 8/3/2000, p.1 	aComstock
	Unprovoked	USA	Florida	Smyrna Dunes  Park, New Smyrna Beach, Volusia County	Wading	Amber Benningfield	F	13	N	Injury	calf   hand	Unknown	0.	S. Petersohn, GSAF; M.Guisti, Daytona Beach News Journal, 7/3/2000, p.6C;  Orlando Sentinel, 7/3/2000,p.C3	bBenningfield
	Unprovoked	USA	Florida	Smyrna Dunes Park, New Smyrna Beach, Volusia County	Standing	Danielle Shidemantle	F	19	N	Injury	Left thigh	spinner shark	0.	S. Petersohn; M.Guisti, Daytona Beach News Journal, 7/3/2000, p.6C; Orlando Sentinel, 7/3/2000,p.C3	aShidemantle
	Unprovoked	TANZANIA		Coco Beach, Dar-es-Salaam	Swimming	nan		0	Y	Fatal	Unknown	Zambesi shark	Unknown	T. Thierry	NVTanzania
2000-06-30	Unprovoked	PAPUA NEW GUINEA	Madang Province	Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby			M	0	Y	Fatal	Unknown	Unknown	Unknown	Squali.org	NVPNG
2000-06-29	Boat	NEW ZEALAND	North Island	Papamoa Beach, Bay of Plenty	Fishing	inflatable dinghy, occupants: Craig Ward & Gavin John Halse	M	0	N	No injury	Unknown	Mako shark	2 m	R. D. Weeks, GSAF	HalseWard
2000-06-19	Unprovoked	USA	Florida	Seminole Avenue, Ormond Beach, Volusia County	Standing	Jacob Alegood	M	52	N	Injury	Unknown	Unknown	Unknown	S. Petersohn, GSAF; M. I. Johnson, Daytona Beach News Journal; Orlando Sentinel, 6/20/2000, p.D3	Alegood
2000-06-13	Boat	USA	Florida	Pensacola Bay, Escambia County	Sailing	22' pleasure boat		0	N	No injury	Unknown	Bull shark	2.	Mobile Register 6/14/2000; Charlotte Observer, 6/15/2000, p.8A	boat
2000-06-10	Unprovoked	USA	Texas	J.P. Luby Surf Park, Corpus Christi	Surfing	Kenny Alexander	M	17	N	Injury	Foot	Blacktip shark	1.	GSAF	Alexander
	Unprovoked	USA	Alabama	Gulf Shores, Baldwin County	Swimming	Richard Whatley	M	55	N	Injury	Unknown	Bull shark	Unknown	Orlando Sentinel, 6/10/2000, p.A20 & 6/11/2000, p.A22; T. Allen, pp.74-75Jun 10, 2000. pg. A.20	bWatley
	Unprovoked	USA	Alabama	Gulf Shores, Baldwin County	Swimming 	Chuck Anderson	M	44	N	Injury	Unknown	Bull shark	Unknown	Orlando Sentinel, 6/10/2000, p.A20 & 6/11/2000, p.A22; T. Allen, pp.74-75Jun 10, 2000. pg. A.20	aAnderson
2000-06-02	Unprovoked	USA	Florida	27th Avenue, New Smyrna Beach, Volusia County	Snorkeling	Brian Alcorn	M	13	N	Injury	Unknown	Unknown	Unknown	S. Petersohn, GSAF; D. Brannon; M.I. Johnson, Daytona Beach News Journal, 6/3/2000, p.1C	Alcorn
	Unprovoked	TANZANIA		Coco Beach in Oyster Bay, 7 km north of Dar-es-Salaam	Swimming		M	0	Y	Fatal	Unknown	Zambesi shark	Unknown	T. Thierry	CocoBeach
2000-05-13	Sea Disaster	NEW CALEDONIA	South Province	Mont Dore	Air Disaster - Piper aircraft crashed into the sea, killing all on board	3 people		0	Y	Fatal	Unknown	Tiger shark	20	W. Leander; Les Nouvelles Caledoniennes, 5/15/2000	aircraft
2000-05-09	Invalid	AUSTRALIA	Victoria	Koonya Beach, Melbourne		Severed human foot washed ashore (in sneaker with 2 Velcro closures)		0		Fatal	Unknown	Unknown	Unknown	T. Peake, GSAF	foot
	Unprovoked	PAPUA NEW GUINEA	Madang Province	Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby	Standing	Adam	M	9	N	Injury	Left leg	Unknown	Unknown	Reuters; Papua New Guinea Post-Courier	bAdam
	Unprovoked	PAPUA NEW GUINEA	Madang Province	Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby	Diving		M	0	Y	Fatal	Unknown	Unknown	Unknown	Reuters; Papua New Guinea Post-Courier	adiver
2000-04-14	Unprovoked	USA	Florida	On the south side of Ponce Inlet, Volusia County	Walking	Adam Metz	M	34	N	Injury	Left foot	Unknown	Unknown	Scott Petersohn, GSAF; M. Johnson; Daytona Beach News-Journal, 4/16/2000, p.3B	Metz
2000-04-09	Unprovoked	USA	Florida	Municipal Beach, Riviera Beach, Palm Beach County	Boogie boarding / wading	teen	M	0	N	Injury	right thigh	Unknown	Unknown	The Palm Beach Post, 4/11/2000, p.4B  	boy
2000-03-31	Unprovoked	USA	Florida	Santa Rosa Sound Escambia County	Fishing	Dave Edwards	M	0	N	Injury	Unknown	Unknown	Unknown	R. Aiden Martin, GSAF; Pensacola News Journal & Orlando Sentinel, 5/9/2000, p.D.5	Edwards
2000-03-30	Unprovoked	AUSTRALIA	Queensland	Main Beach, Gold Coast	Swimming	Anrija (Andy) Rojcezic	M	26	N	Injury	Unknown	m shark	2.	T. Peake, GSAF	Rojcevic
2000-03-26	Unprovoked	USA	Florida	Juno Beach, Palm Beach County	Boogie boarding	Heather Van Olst	F	14	N	Injury	Unknown	Unknown	1.	Stuart News, 3/28/2000; Jupiter Couier, 3/29/2000	VanOlst
2000-03-24	Unprovoked	USA	Florida	Floridana Beach, Brevard County	Surfing	Barry Pasonski	M	37	N	Injury	hand	Unknown	1.	Orlando Sentinel, 3/25/2000, p.D.3 	Pasonski
2000-03-15	Unprovoked	NEW CALEDONIA	North Province	Poum	Spearfishing	Gilbert Bui Van Minh	M	35	Y	Fatal	Unknown	Tiger shark	Unknown	Les Nouvelles Caledoniennes, 3/16/2000	GilbertBui
2000-03-14	Unprovoked	AUSTRALIA	New South Wales	McMasters Beach, Central Coast	Surfing	Craig Ruth	M	0	N	Injury	Unknown	Tiger shark	4 m	Sydney Morning Herald, 3/16/2000 	Ruth
2000-03-10	Boating	AUSTRALIA	New South Wales	Parramatta River	Rowing	boat of Scot's College rowers		0	N	Injury	Unknown	Unknown	2 m	Sydney Morning Herald, 	rowers
2000-03-09	Boating	AUSTRALIA	New South Wales	Parramatta River	Rowing	boat of Al Hattersly		0	N	No injury	Unknown	Unknown	Unknown	Sydney Morning Herald	Oar
	Invalid	NEW ZEALAND	North Island	Between the Kakanui River and Campbell's Bay	Kayaking	Ricky Stringer	M	27		Fatal	Unknown	Unknown	Unknown	R. D. Weeks, GSAF	RStringer
2000-03-02	Unprovoked	AUSTRALIA	New South Wales	Taronga Wharf, Athol Bay, Sydney Harbor	Swimming	Jack Dasey	M	0	N	Injury	Unknown	Unknown	Unknown	Sydney Morning Herald	Dasey
	Unprovoked	USA	Louisiana	Midnight Lump (38 miles offshore)	Spearfishing	Kurt Bickel	M	39	N	No injury	Unknown	mako shark	3 m	R. Collier, GSAF	aBickel
2000-02-21	Unprovoked	USA	Florida	Riviera Beach, Palm Beach County			M	27	N	Injury	Unknown	Unknown	Unknown	The Palm Beach Post, 2/22/2000	maleRivieraBeach
2000-02-19	Unprovoked	SOUTH AFRICA	Western Cape Province	Struis Bay	Body surfing	Dr. Weich	M	0	N	Injury	Foot	White shark	2.	C. Creswell, GSAF	Weich
2000-02-14	Provoked	ENGLAND	Worcestershire	The Fountain Pub in Tenbury Wells	Feeding prawns to captive sharks	Paul Smith, a chef	M	0	N	Injury	Unknown	Unknown	60 	The Sun (London), 2/17/2000	Smith
2000-02-03	Unprovoked	NEW ZEALAND	South Island	Oreti Beach (reported as the 4th person bitten in NZ in 2000)	Surfing	Michael Petas	M	12	N	No injury	Unknown	Unknown	Unknown	Waikato Times; Southland Times, 10/23/1999, p.1	Petas
2000-02-01	Unprovoked	AUSTRALIA	South Australia	Point Sinclair, Cactus Beach near Penong	Surfing	Anthony Hayes	M	26	N	Injury	Unknown	Unknown	3 m	T. Peake, GSAF	Hayes
	Boat	REUNION		Saint Pierre	Canoe with 3 men onboard sank	Boulabhaï Ishmael	M	0	Y	Fatal	Unknown	Unknown	Unknown	B.L. du Vendre	RReunion
2000-01-05	Unprovoked	THAILAND	Phang nga Province	Phang nga Island	Diving	Stephan Kahl	M	35	Y	Fatal	Unknown	Unknown	Unknown	A. Xuereb	Kahl
	Boat	USA	Florida	Boca Grande, Lee County	Fishing for tarpon	boat: occupant, Terry Winters	M	0	N	No injury	Unknown	Hammerhead shark	Unknown	B. Stout, News-Press, 7/2/2005	BocaGrandeBoat
	Unprovoked	NEW ZEALAND	South Island	Oreti Beach	Surfing	Tim Wild	M	15	N	Injury	Unknown	Sevengill shark	Unknown	R.D. Weeks, GSAF; The Otago Daily Times, 1/2/2000	cWildl
	Unprovoked	NEW ZEALAND	South Island	Oreti Beach	Swimming	Jennifer McDowell	F	13	N	Injury	Unknown	Sevengill shark	Unknown	R.D. Weeks, GSAF; The Otago Daily Times, 1/2/2000; Waikato Times, 2/5/2000	bMcDowell
	Unprovoked	NEW ZEALAND	South Island	Oreti Beach	Bathing	Genna Hayward 	F	12	N	Injury	hand	Sevengill shark	Unknown	R.D. Weeks, GSAF; The Otago Daily Times, 1/2/2000	aHayward
1999-12-26	Unprovoked	BRAZIL	Pernambuco	Boa Viagem Beach, Recife	Surfing	Alton Cicero da Silva	M	18	N	Injury	Unknown	tiger shark	Unknown	L. A. Pereira & J. Morris; JC, 12/27/1999	Cicero
1999-12-14	Invalid	USA	California	Off Ventura, Anacapa & Santa Cruz Islands	Scuba diving	Joo Whan Hong	M	0		Fatal	Unknown	Unknown	Unknown	R. Collier	Hong
1999-12-06	Invalid	BRAZIL	Rio de Janeiro	Rio de Janeiro, Guanabara Bay	Spearfishing	Frederico Nóbrega (aka Derico) 	M	39	N	Injury	right thigh	Unknown	Unknown	L. A. Pereira 	Braziliandiver
1999-12-02	Unprovoked	USA	Florida	Boynton Beach, Palm Beach County	Surfing		M	35	N	Injury	Unknown	Unknown	Unknown	The Palm Beach Post,12/3/1999 	BoyntonBeachsurfer
1999-11-30	Unprovoked	USA	Florida	Palm Beach, Palm Beach County	Surfing	Jeremiah Wyche	M	19	N	Lacerations	hand	Unknown	Unknown	A. Brenneka, Shark Attack Survivors; The Palm Beach Post,12/3/1999 	Wyche
1999-11-23	Unprovoked	USA	Hawaii	Big Island off Kona Village Resort, North Kona	Swimming	Laurie Boyette	F	51	N	Injury	hands	Tiger shark	1.	G. Kubota, Star Bulletin	Boyette
1999-11-15	Unprovoked	USA	California	Waddell Reef, Santa Cruz County	Surfing (sitting on his board)	Jack Wolf	M	0	N	No injury	Unknown	White shark	Unknown	R. Collier, pp.166-167	JackWolfCollier
1999-11-13	Unprovoked	SOUTH AFRICA	KwaZulu-Natal	Umtentweni	Surfing	Sean Grenfell	M	35	N	Injury	Lower leg	White shark	3 m	G. Cliff, NSB	Grenfell
1999-11-06	Unprovoked	BRAZIL	Rio de Janeiro	Rio de Janeiro, Guanabara Bay	Spearfishing, but swimming at surface		M	39	N	Injury	right thigh	m shark	1.	O. Gadig	Braziliandiver
	Unprovoked	MARSHALL ISLANDS	Alinglaplap Atoll	Island J4H	Swimming	Dally Bayo	M	12	N	Lacerations	Unknown	reef shark	1.	www.svcherokee/pages/ Ailingilaplap.htm	bBayo
	Unprovoked	MARSHALL ISLANDS	Alinglaplap Atoll	Island J4H	Swimming	 Morson Daniel	M	12	N	Lacerations	Unknown	reef shark	1.	www.svcherokee/pages/ Ailingilaplap.htm	aMorson
	Unprovoked	USA	Florida	Daytona Beach, Volusia County	Body boarding	Keven Dolsky	M	45	N	Injury	Right foot	Unknown	Unknown	S. Petersohn, GSAF	bDolsky
	Unprovoked	USA	Florida	Gulfstream Park beach, Palm Beach County	Body surfing	Troy Jesse	M	13	N	Injury	Unknown	Unknown	Unknown	C. Lambert, Palm Beach Post, 10/31/1999, p.3C	aTroyJesse
1999-10-20	Unprovoked	USA	Florida	Pet Den, Satellite Beach, Brevard County	Surfing	David Hunt	M	0	N	Lacerations	hand	Lemon shark	2.	W. Schauman	Hunt
1999-10-01	Unprovoked	USA	Hawaii	Old Kona Airport State Park	Surfing, lying on surfboard	Jesse Spencer	M	16	N	Injury	Unknown	Tiger shark	1.	Star Bulletin	Spencer
1999-09-29	Unprovoked	USA	Florida	South side of Ponce de Leon Inlet, Volusia County	Wading to shore after surfing	Joel A. Borges	M	22	N	Injury	right foot	Unknown	Unknown	S. Petersohn, GSAF	Borges
1999-09-24	Boating	ITALY	Adriatic Sea	San Benedetto	Fishing	Boat Coca Cola		0	N	Injury	Unknown	white shark	7 m	Orlando Sentinel, 9/28/1999, p.A12	boat
1999-09-18	Unprovoked	USA	California	North of Pidgeon Point, San Mateo County	Kayaking	Tod Wallersheim	M	37	N	No injury	Unknown	White shark	Unknown	R. Collier	Wallersheim
1999-09-16	Unprovoked	USA	Florida	Cape Canaveral, Brevard County	Wading	Janet Ferguson	F	61	N	Injury	Unknown	Unknown	Unknown	Evening News (Edinburgh, Scotland)	Ferguson
1999-09-10	Unprovoked	USA	South Carolina	Isle of Palms, Charleston County	Wading	Taylor Warnock	F	10	N	Injury	Unknown	Unknown	Unknown	C. Creswell, GSAF	Warnock
1999-09-05	Unprovoked	USA	Florida	Fort Pierce Inlet, St. Lucie County	Surfing	Mike Sprague	M	13	N	Injury	Right foot	Unknown	1.	Orlando Sentinel, 9/8/1999, p.D3; Allen, p.65	Sprague
	Provoked	USA	Florida	World Typhoon Lagoon, Disney Water Park, Orange County	Wading	Troy Patterson	M	7	N	Injury	Unknown	Unknown	0.	K. Morelli, Tampa Tribune, 9/6/1999	bPatterson
	Unprovoked	USA	Florida	Ponce Inlet, Volusia County	Wading with surfboard	Tony Crabtree	M	39	N	Injury	Right foot	Unknown	Unknown	S. Petersohn, GSAF; Daytona Beach News Journal, 9/5/1999, p.7B 	aCrabtree
1999-08-26	Unprovoked	USA	Florida	Bethune Beach, south of New Smyrna Beach, Volusia County	Surfing	Chris Ayers	M	28	N	Injury	right foot	small shark	Unknown	S. Petersohn, GSAF; Orlando Sentinel,  8/27/1999, p.D3; Miami Herald, 8/28/1999	Ayers
1999-08-24	Unprovoked	USA	North Carolina	Fort Fisher, New Hanover County	Surfing		M	0	N	Injury	Foot	Unknown	Unknown	Wilmington Star, 8/25/1999, C. Creswell, GSAF	FortFisher
1999-08-23	Unprovoked	MARSHALL ISLANDS	Ralik Chain	Kwajalein Atoll	Fishing	Jeffery Joel	M	23	N	Lacerations	left leg	Unknown	7'	Kwajalein Hourglass, 8/27/1999	Joel
1999-08-21	Unprovoked	USA	Florida	Ponce Inlet, Volusia County	Surfing	G.C.	M	17	N	Injury	right foot	Unknown	Unknown	S. Petersohn, GSAF	GC
1999-08-16	Unprovoked	USA	South Carolina	Grand Strand, Myrtle Beach, Horry County	Lying prone in 2' of water	Christopher (Will)  Handley	M	10	N	Injury	Unknown	Unknown	1.	Charlotte Observer, 8/18/1999, p.4C; J. Kennedy, ProQuest; Sun News (Myrtle Beach), 8/19/1999; Richmond Times Dispatch, 8/19/1999	Handley
	Unprovoked	USA	Florida	New Smyrna Beach, Volusia County	Body surfing	Charles Adkins	M	62	N	Injury	Unknown	Unknown	4'	S. Petersohn, Orlando Sentinel, 8/6/1999; M.I. Johnson, Daytona Beach News Journal, 8/6/1999, p.3C 	Adkins
