Year,Country,Area,Location,Activity,Sex ,original order,hurt
2013,USA,Texas,"Surfside Beach, Brazoria County",Swimming,M,5638.0,Injury
2013,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,M,5637.0,Injury
2013,USA,Florida,"Atlantic Beach, Duval County",Surfing,F,5636.0,Injury
2013,AUSTRALIA,New South Wales,Target Beach,Surfing,M,5633.0,Injury
2013,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,5631.0,Injury
2013,PALESTINIAN TERRITORIES,0,Gaza,Fishing,M,5629.0,Injury
2014,ECUADOR,Santa Cruz Island,"Playa Brava, Turtle Bay",Surfing,M,5628.0,Injury
2013,USA,California,"Tourmaline Surf Park, San Diego County",Surfing,M,5627.0,Injury
2013,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,5625.0,Injury
2013,AUSTRALIA,New South Wales,Emerald Beach,Fishing,M,5624.0,Injury
2013,MEXICO,Quintana Roo,"Seagull Beach, Cancun",Swimming,F,5623.0,Injury
2013,AUSTRALIA,New South Wales,Crowdy Head,Fishing,M,5622.0,Injury
2013,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5619.0,Injury
2013,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,5616.0,Injury
2013,USA,Hawaii,Kaanapali Shores,Surfing,M,5614.0,Injury
2013,AUSTRALIA,New South Wales,Terrigal Beach,Surfing,M,5613.0,Injury
2013,SOUTH AFRICA,Western Cape Province,Hawston Beach,Surfing,M,5608.0,Injury
2013,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Swimming,M,5604.0,Injury
2013,NEW ZEALAND,North Island,Muriwai,Swimming,M,5603.0,Fatal
2013,USA,Hawaii,"Ka'anapali, Honokowai, Maui",Surfing,0,5602.0,Injury
2013,USA,Hawaii,"Paia Bay, Maui",Surfing,M,5601.0,Injury
2013,USA,Florida,"""Stuart Rocks"", Martin County",Surfing,M,5600.0,Injury
2013,AUSTRALIA,Victoria,Cape Nelson,Fishing,M,5597.0,Injury
2013,AUSTRALIA,Queensland,Noosa,Surfing,M,5596.0,Injury
2013,USA,Hawaii,Kiholo Bay,Surfing,M,5594.0,Injury
2012,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,5591.0,Injury
2012,AUSTRALIA,New South Wales,Between Dee Why and Long Reef,Surfing,M,5590.0,Injury
2012,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Swimming,M,5588.0,Fatal
2012,AUSTRALIA,Western Australia,Trigg Beach,Surfing,M,5587.0,Injury
2012,USA,Hawaii,Kauai,Surfing,M,5586.0,Injury
2012,MEXICO,Sinaloa,Nuevo Altata,Swimming,M,5581.0,Fatal
2012,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,5580.0,Injury
2012,USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,M,5578.0,Injury
2012,USA,California,"Humboldt Bay, Eureka, Humboldt County",Surfing,M,5577.0,Injury
2012,USA,Hawaii,"Makena Landing, Maui",Swimming,F,5576.0,Injury
2012,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,5575.0,Fatal
2012,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,5573.0,Injury
2012,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,5567.0,Injury
2012,USA,Florida,"Spanish House Beach, Brevard County",Surfing,M,5566.0,Injury
2012,USA,Florida," Cocoa Beach, Brevard  County",Surfing,M,5565.0,Injury
2012,TONGA,Vava'u,Eueiki Island,Swimming,F,5564.0,Injury
2012,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,0,5563.0,Injury
2012,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Surfing,M,5562.0,Injury
2012,USA,Florida,"South Beach, Miami-Dade County",Swimming,M,5561.0,Injury
2012,USA,Florida,"Neptune Beach, Duval County",Surfing,M,5560.0,Injury
2012,USA,Florida,"St. Augustine Beach, St. John's County",Surfing,M,5559.0,Injury
2012,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,5558.0,Injury
2012,AUSTRALIA,Western Australia,Red Bluff near Quobba Station,Surfing,M,5553.0,Injury
2012,BRAZIL,Pernambuco,"Coral Cove, Cabo de Santo Agostinho",Swimming,M,5552.0,Fatal
2012,AUSTRALIA,Western Australia,Ocean Reef,Fishing,0,5550.0,Injury
2012,REUNION,Saint Leu,0,Surfing,M,5548.0,Injury
2012,USA,California,"Topanga Beach, Los Angeles County",Surfing,M,5546.0,Injury
2012,AUSTRALIA,South Australia,Streaky Bay,Surfing,M,5545.0,Injury
2012,USA,Hawaii,"Mahaulepu Beach, Kauai",Surfing,M,5544.0,Injury
2012,REUNION,Trois-Bassins,0,Surfing,M,5541.0,Fatal
2012,TRINIDAD & TOBAGO,Trinidad,"Off Radix Village, Mayoro County",Swimming,M,5540.0,Injury
2012,CANADA,British Colombia,"Tofino, Vancouver",Surfing,F,5539.0,Injury
2012,AUSTRALIA,Western Australia,Off Wedge Island,Surfing,M,5538.0,Fatal
2012,USA,North Carolina,"North Topsail Beach, Onslow County",Swimming,F,5537.0,Injury
2012,SOUTH AFRICA,Western Cape Province,"Sandstrand, Jongensfontein",Surfing,M,5533.0,Injury
2012,CROATIA,0,Buccari Bay,Swimming,0,5532.0,Injury
2012,USA,Florida,"Juno Beach, Palm Beach County",Swimming,M,5531.0,Injury
2012,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5530.0,Injury
2012,AUSTRALIA,Tasmania,South Cape Bay,Surfing,M,5528.0,Injury
2012,USA,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,M,5527.0,Injury
2012,USA,Florida,"Summerland Key, Monroe County",Fishing,M,5523.0,Injury
2012,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,F,5522.0,Injury
2012,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,5521.0,Injury
2012,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,5520.0,Injury
2012,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,5519.0,Injury
2012,AUSTRALIA,Victoria,Port Campbell,Surfing,M,5518.0,Injury
2012,USA,Florida,"Bethune Beach, Volusia County",Surfing,F,5515.0,Injury
2012,USA,Florida,"Jacksonville, Duval County",Surfing,M,5511.0,Injury
2012,USA,Florida,"Vero Beach, Indian River County",Swimming,F,5507.0,Injury
2012,USA,Florida,"Indialantic, Brevard County",Surfing,M,5505.0,Injury
2012,USA,Hawaii,"Leftovers near Chun's Reef, Oahu",Surfing,M,5502.0,Injury
2012,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5499.0,Injury
2012,AUSTRALIA,Queensland,Nobby's Beach,Surfing,M,5497.0,Injury
2012,USA,Florida,"Jensen Beach, Martin County ",Surfing,M,5496.0,Injury
2012,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,5495.0,Injury
2012,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5494.0,Injury
2012,NEW ZEALAND,North Island,"Opunake, Taranake",Surfing,M,5493.0,Injury
2012,AUSTRALIA,New South Wales,Broughton Island,Fishing,M,5486.0,Injury
2012,SOUTH AFRICA,Western Cape Province,Strandfontein,Fishing,0,5485.0,Injury
2012,AUSTRALIA,Queensland,Wurtulla,Surfing,M,5484.0,Injury
2012,TAIWAN,Taitung ,Taimali,Fishing,M,5480.0,Injury
2012,AUSTRALIA,New South Wales,Redhead Beach,Surfing,M,5479.0,Injury
2012,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,M,5478.0,Fatal
2012,USA,Oregon,"Lincoln City, Lincoln County",Surfing,M,5477.0,Injury
2012,AUSTRALIA,New South Wales,North Avoca Beach,Surfing,M,5476.0,Injury
2011,ANTIGUA,St John's,Fort James Beach,Swimming,M,5473.0,Injury
2011,ECUADOR,Santa Elena,Barandúa Beach,Surfing,M,5472.0,Injury
2011,USA,Florida,New Smyrna Beach,Surfing,M,5471.0,Injury
2011,AUSTRALIA,New South Wales,Angourie,Surfing,M,5468.0,Injury
2011,AUSTRALIA,New South Wales,Maroubra,Surfing,M,5466.0,Injury
2011,USA,Oregon,Seaside Cove,Surfing,F,5465.0,Injury
2011,AUSTRALIA,New South Wales,Broken Head,Surfing,M,5463.0,Injury
2011,INDONESIA,Bali,Tabanan,Surfing,M,5462.0,Injury
2011,AUSTRALIA,Queensland,Peregian,Swimming,M,5461.0,Injury
2011,BRAZIL,Pernambuco,"Punta Del Chifre Beach, Olinda",Surfing,M,5458.0,Injury
2011,USA,California,"Marina State Beach, Monterey County",Surfing,M,5456.0,Injury
2011,SCOTLAND,Moray,Spey Bay,Surfing,M,5455.0,Injury
2011,USA,Oregon,"Newport, Lincoln County",Surfing,M,5452.0,Injury
2011,USA,Florida,Cape Canaveral,Surfing,M,5450.0,Injury
2011,USA,Oregon,Seaside,Surfing,M,5449.0,Injury
2011,AUSTRALIA,Western Australia,Cottesloe Beach,Swimming,M,5448.0,Fatal
2011,USA,Puerto Rico,Hatillo Beach,Surfing,M,5444.0,Injury
2011,DOMINICAN REPUBLIC,Samaná Province,Playa Jackson ,Fishing,M,5443.0,Injury
2011,SOUTH AFRICA,Western Cape Province,Clovely Beach,Swimming,M,5442.0,Injury
2011,KENYA,Coast Province,"Mama Ngina Beach, Mombasa ",Swimming,M,5437.0,Fatal
2011,USA,Florida,New Smyrna Beach,Surfing,M,5436.0,Injury
2011,USA,California,"Samoa Beach, Humboldt County",Surfing,M,5435.0,Injury
2011,USA,Hawaii,"Nimitz State Beach, Oahu",Surfing,0,5433.0,Injury
2011,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5431.0,Injury
2011,USA,Florida,Crescent Beach St. Johns County,Surfing,M,5430.0,Injury
2011,AUSTRALIA,Queensland,Fantome Island,Swimming,M,5429.0,Fatal
,USA,North Carolina,"Buxton Beach, Dare County",Surfing,M,5426.0,Injury
2011,SOUTH AFRICA,Western Cape Province,"Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay",Surfing,M,5424.0,Fatal
2011,RUSSIA,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Zheltukhin Island,Swimming,M,5423.0,Injury
2011,RUSSIA,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Vityaz,Swimming,M,5420.0,Injury
2011,FRENCH POLYNESIA,Society Islands,"Teahupoo, Tahiti",Surfing,M,5419.0,Injury
2011,USA,North Carolina,Beaufort Inlet,Swimming,M,5415.0,Injury
2011,BRAZIL,Pernambuco,Praia do Pina,Swimming,M,5413.0,Injury
2011,SOUTH AFRICA,Eastern Cape Province,"Cintza Beach, East London",Surfing,M,5410.0,Injury
2011,USA,Texas,"Sunday Beach, Matagorda Island, Calhoun  County",Swimming,M,5405.0,Injury
2011,REUNION,Saint-Gilles,Roches Noires,Surfing,M,5403.0,Injury
2011,BRAZIL,Pernambuco,Praia do Pina,Surfing,M,5400.0,Injury
2011,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,5397.0,Injury
2011,COSTA RICA,Guanacaste,Playa Grande,Surfing,M,5394.0,Fatal
2011,UNITED KINGDOM,Cornwall,St. Ives,Fishing,0,5392.0,Injury
2011,SOUTH AFRICA,Western Cape Province,Robberg Beach,Surfing,M,5385.0,Injury
2011,USA,Hawaii,"Lyman Beach, Kailua-Kona",Surfing,F,5384.0,Injury
2011,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,5379.0,Injury
2011,NEW ZEALAND,South Island,Snapper Point,Surfing,M,5372.0,Injury
2011,INDONESIA,Bali,Balian,Surfing,M,5371.0,Injury
2011,MEXICO,Quintana Roo,"Gaviotas Beach, Cancun",Swimming,F,5368.0,Injury
2011,AUSTRALIA,New South Wales,Crowdy Head,Surfing,M,5367.0,Injury
2011,MEXICO,Quintana Roo,0,Swimming,M,5366.0,Injury
2011,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,5362.0,Injury
2011,AUSTRALIA,Queensland,Between ,Fishing,M,5361.0,Injury
2011,REUNION,Saint Gilles ,Trois-Roches,Surfing,M,5359.0,Injury
2011,AUSTRALIA,Queensland,Sunshine Beach,Fishing,M,5357.0,Injury
2011,MEXICO,Quintana Roo,Cancun,Swimming,F,5353.0,Injury
2011,AUSTRALIA,New South Wales,Cudgen Creek ,Swimming,F,5350.0,Injury
2011,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,5349.0,Fatal
2011,AUSTRALIA,Western Australia,Busselton,Fishing,0,5347.0,Injury
2010,FIJI,Vitu Levu,Sigatoka,Surfing,M,5345.0,Injury
2010,USA,Hawaii,"Tavares Bay, Maui",Surfing,M,5344.0,Injury
2010,INDONESIA,Bali,Balian,Surfing,M,5342.0,Injury
2010,SAMOA,0,0,Fishing,M,5337.0,Injury
2010,AUSTRALIA,Western Australia,Native Dog Beach,Swimming,M,5336.0,Injury
2010,INDONESIA,Bali,Balian,Surfing,M,5333.0,Injury
2010,AUSTRALIA,Western Australia,Between Carnac and Garden Islands,Fishing,M,5332.0,Injury
2010,USA,Oregon,Florence,Surfing,M,5329.0,Injury
2010,AZORES,0,350 miles from Faial Island,Fishing,M,5328.0,Injury
2010,AUSTRALIA,New South Wales,Mullaway Headland,Surfing,M,5323.0,Injury
2010,BAHAMAS,Abaco Islands,Elbow Cay,Surfing,F,5321.0,Injury
2010,SOUTH AFRICA,Western Cape Province,"Melkbaai, Strand",Surfing,M,5320.0,Injury
2010,USA,Oregon,Winchester Bay,Surfing,M,5319.0,Injury
2010,USA,Virginia,Sandridge Beach,Surfing,M,5318.0,Injury
2010,SOUTH AFRICA,Western Cape Province,Between Dyer Island and Pearly Beach,Swimming,M,5317.0,Fatal
2010,AUSTRALIA,New South Wales,Fraser's Reef,Surfing,M,5316.0,Injury
2010,USA,Florida,"St. Augustine, St. John's County",Swimming,M,5315.0,Injury
2010,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5313.0,Injury
2010,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5312.0,Injury
2010,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5311.0,Injury
2010,AUSTRALIA,Western Australia,Cowaramup Bay,Surfing,M,5307.0,Fatal
2010,AUSTRALIA,Queensland,"Three Mile Creek, Townsville",Fishing,F,5305.0,Injury
2010,SOUTH KOREA,Jeju Province,Jeju Island,Swimming,F,5304.0,Injury
2010,AUSTRALIA,New South Wales,Crescent Head,Surfing,M,5303.0,Injury
2010,USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,M,5302.0,Injury
2010,USA,Florida,"Bethune Beach, Volusia County",Swimming,F,5300.0,Injury
2010,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,5296.0,Injury
2010,USA,South Carolina,Myrtle Beach,Swimming,M,5295.0,Injury
2010,USA,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,F,5294.0,Injury
2010,USA,Florida,New Smyrna Beach,Surfing,M,5293.0,Injury
2010,SPAIN,Grand Canary Island,"Sardina del Norte, Gáldar",Swimming,M,5292.0,Injury
2010,USA,Texas,Galveston,Fishing,M,5291.0,Injury
2010,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Fishing,M,5290.0,Injury
2010,USA,New York,Off Long Island,Fishing,M,5288.0,Injury
2010,USA,California,"Pismo Beach, San Luis  Obispo County",Surfing,M,5287.0,Injury
2010,USA,Texas,"Eight Mile Beach, Galveston",Surfing,M,5285.0,Injury
2010,USA,North Carolina,"Topsail Island, Pender County",Swimming,F,5283.0,Injury
2010,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,M,5282.0,Injury
2010,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",Surfing,M,5280.0,Injury
2010,USA,Florida,"Ponte Vedra Beach, St Johns County",Surfing,M,5279.0,Injury
2010,USA,Florida,Off Tarpon Springs,Fishing,M,5278.0,Injury
2010,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,F,5276.0,Injury
2010,AUSTRALIA,New South Wales,Point Plomer,Surfing,M,5275.0,Injury
2010,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,5271.0,Injury
2010,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,M,5270.0,Injury
2010,REUNION,Saint-Benoit,Bittern,Surfing,M,5268.0,Injury
2010,NEW ZEALAND,South Island,Tahunanui Beach,Swimming,M,5267.0,Injury
2010,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Surfing,M,5266.0,Injury
2010,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",Surfing,M,5263.0,Injury
2010,BRAZIL,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",Surfing,M,5256.0,Injury
2010,AUSTRALIA,Queensland,Archie's Beach,Surfing,M,5255.0,Injury
2010,UNITED ARAB EMIRATES (UAE),Dubai,"Umm Suqeim Beach, Dubai",Surfing,M,5254.0,Injury
2010,AUSTRALIA,Victoria,Geelong,Surfing,M,5253.0,Injury
2010,SOUTH AFRICA,Eastern Province,"Nahoon, East London",Surfing,M,5246.0,Injury
2009,AUSTRALIA,New South Wales,Avoca Beach,Swimming,M,5244.0,Injury
2009,MOZAMBIQUE,Maputo Province,Ponta do Ouro,Swimming,M,5243.0,Injury
2009,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Surfing,M,5239.0,Injury
2009,AUSTRALIA,New South Wales,Coffee Head,Surfing,M,5237.0,Injury
2009,USA,California,"Huntington Beach, Orange County",Surfing,M,5234.0,Injury
2009,USA,California,"Loch Lomond, Marin County",Fishing,M,5232.0,Injury
2009,USA,Florida,"Jupiter, Palm Beach County",Surfing,M,5231.0,Injury
2009,USA,Florida,"Jupiter, Palm Beach County",Surfing,F,5230.0,Injury
2009,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5229.0,Injury
2009,USA,California,"Davenport, Santa Cruz County",Surfing,M,5227.0,Injury
2009,USA,California,"San Onofre, San Diego County ",Surfing,M,5223.0,Injury
2009,USA,Hawaii,"Kalama Park, Maui",Surfing,M,5222.0,Injury
2009,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,5218.0,Injury
2009,UNITED KINGDOM,Devon,Mewstone Rock,Fishing,M,5217.0,Injury
2009,USA,Florida,"Key Colony Beach, Monroe County",Swimming,M,5216.0,Injury
2009,SOMALIA,0,300 miles off the coast ,Fishing,M,5214.0,Injury
2009,USA,North Carolina,"Corolla, Currituck County",Swimming,M,5212.0,Fatal
2009,NEVIS,0,Castle Beach,Swimming,M,5210.0,Injury
2009,SOLOMON ISLANDS,Makira-Ulawa Province,"Kirakira, Makira Island (formerly San Cristobal)",Fishing,M,5209.0,Injury
2009,USA,California,"Huntington Beach, Orange County",Surfing,M,5208.0,Injury
2009,SOUTH AFRICA,Western Cape Province,Glentana,Surfing,M,5207.0,Fatal
2009,USA,California,"Terramar Beach, Carlsbad, San Diego County",Swimming,F,5206.0,Injury
2009,USA,Florida,"Ponce, Volusia County",Swimming,M,5204.0,Injury
2009,USA,Hawaii,Kawa'a ,Surfing,M,5203.0,Injury
2009,AUSTRALIA,New South Wales,Broken Head,Surfing,M,5200.0,Injury
2009,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,F,5199.0,Injury
2009,SPAIN,Catalunya,Sant Salvador,Swimming,F,5196.0,Injury
2009,USA,North Carolina,Holden Beach. Brunswick County,Swimming,F,5195.0,Injury
2009,USA,Florida,"Intracoastal Waterway,      St. Petersburg",Swimming,F,5194.0,Injury
2009,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,M,5193.0,Injury
2009,SOUTH AFRICA,Western Cape Province,"Jogensfontein, Stilbaai",Surfing,M,5190.0,Injury
2009,USA,Florida,"Biscayne National Park, Miami",Swimming,F,5188.0,Injury
2009,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,5187.0,Injury
2009,USA,California,"Shell Beach, San Luis Obispo County",Surfing,M,5186.0,Injury
2009,TAIWAN,Off Green Island,Onboard the fishing vessel Chin Sheng Fa 13  ,Fishing,M,5180.0,Injury
2009,USA,Florida,"Clearwater Beach, Pinellas County",Swimming,M,5179.0,Injury
2009,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5178.0,Injury
2009,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5177.0,Injury
2009,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5176.0,Injury
2009,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,5172.0,Injury
2009,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5171.0,Injury
2009,PHILIPPINES,Batangas province,Mabini,Swimming,M,5170.0,Injury
2009,USA,Florida,"Carlin Park, Jupiter Inlet",Surfing,M,5169.0,Injury
2009,USA,Florida,"Walton Rocks, St Lucie County",Surfing,M,5168.0,Injury
2009,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Swimming,M,5165.0,Injury
2009,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,5161.0,Fatal
2009,AUSTRALIA,New South Wales,Blue Bay,Surfing,M,5160.0,Injury
2009,AUSTRALIA,New South Wales,South Broulee,Surfing,M,5159.0,Injury
2009,AUSTRALIA,New South Wales,Bateman's Bay,Surfing,F,5158.0,Injury
2009,USA,Florida,"Ponce Inlet, Volusia County",Surfing,F,5157.0,Injury
2009,USA,Hawaii,Alenuihaha Channel,Swimming,M,5155.0,Injury
2009,NEW CALEDONIA,South Province,Bourail,Surfing,M,5153.0,Fatal
2009,SOUTH AFRICA,Western Cape Province,Off Cape Point,Fishing,M,5152.0,Injury
2009,NEW ZEALAND,North Island,Taranaki,Fishing,M,5151.0,Injury
2009,AUSTRALIA,New South Wales,Avalon,Surfing,M,5150.0,Injury
2009,AUSTRALIA,Queensland,Batt Reef,Fishing,M,5149.0,Injury
2009,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,5148.0,Injury
2009,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",Surfing,M,5147.0,Injury
2009,AUSTRALIA,New South Wales,Cellito Beach,Surfing,M,5144.0,Injury
2009,AUSTRALIA,New South Wales,Sandon,Surfing,M,5143.0,Injury
2009,AZORES,0,Onboard the fishing vessel Nuevo Cedes ,Fishing,M,5142.0,Injury
2009,NEW ZEALAND,North Island,Alderman Islands,Fishing,0,5139.0,Injury
2009,AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay",Swimming,M,5138.0,Injury
2009,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Swimming,M,5137.0,Fatal
2009,BRAZIL,Maranhão,Olho d'Água ,Swimming,M,5136.0,Injury
2009,AUSTRALIA,Victoria,Off Tower Hill,Fishing,M,5135.0,Injury
2009,NEW ZEALAND,South Island,Karitane Beach,Surfing,M,5134.0,Injury
2009,AUSTRALIA,Tasmania,Binalong Bay,Surfing,F,5131.0,Injury
2009,AUSTRALIA,New South Wales,Fingal Beach,Surfing,M,5130.0,Injury
2009,NEW ZEALAND,North Island,Hawkes Bay,Fishing,0,5129.0,Injury
2009,ECUADOR,Galapagos Islands,Isla Isabella,Surfing,M,5128.0,Injury
2009,NEW ZEALAND,North Island,Haumoana ,Swimming,M,5127.0,Injury
2008,NEW ZEALAND,North Island,Maraetai,Fishing,M,5119.0,Injury
2008,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Fishing,M,5118.0,Injury
2006,AUSTRALIA,New South Wales,Mowarry Point,Fishing,0,5117.0,Injury
2008,AUSTRALIA,South Australia,North Haven,Fishing,M,5112.0,Injury
2008,PHILIPPINES,Luzon,"off Paoay, Ilocos Norte Province",Fishing,M,5110.0,Fatal
2008,AUSTRALIA,Northern Territory,Darwin,Fishing,M,5107.0,Injury
2008,AUSTRALIA,New South Wales,Lake Macquarie,Surfing,M,5106.0,Injury
2008,USA,Florida,"Santa Rosa Beach, Walton County",Fishing,M,5105.0,Injury
2008,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5103.0,Injury
2008,USA,Florida,Bethune Beach,Surfing,M,5102.0,Injury
2008,AUSTRALIA,Northern Territory,Near Croker Island,Swimming,M,5101.0,Injury
2008,USA,Florida,"Ormond-by-the-Sea, Volusia County",Swimming,M,5100.0,Injury
2008,USA,Hawaii,"Ka'a'awa, Oahu",Surfing,M,5099.0,Injury
2008,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,5098.0,Injury
2008,AUSTRALIA,New South Wales,"Clarks Beach, Byron Bay",Surfing,M,5097.0,Injury
2008,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,5096.0,Injury
2008,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,5095.0,Injury
2008,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5094.0,Injury
2008,USA,Florida,Hutchinson Island,Surfing,M,5093.0,Injury
2008,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,5092.0,Injury
2008,USA,Hawaii,"McKenzie Beach Park in Pahoa, Hawai'i ",Swimming,M,5091.0,Injury
2008,ENGLAND,North Devon, Lundy Island,Fishing,M,5090.0,Injury
2008,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5089.0,Injury
2008,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5088.0,Injury
2008,USA,North Carolina,"Surf City, Topsail Island, Pender County",Surfing,F,5086.0,Injury
2008,USA,Florida,"Sanibel Island, Lee County",Swimming,M,5085.0,Injury
2008,AUSTRALIA,Victoria,Levys Beach,Surfing,M,5080.0,Injury
2008,MEXICO,Cabo San Lucas,0,Swimming,M,5077.0,Injury
2008,USA,Hawaii,"Honokowai, Maui",Swimming,M,5076.0,Injury
2008,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5075.0,Injury
2008,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5071.0,Injury
2008,USA,South Carolina,"Isle of Palms, Charleston County",Surfing,M,5067.0,Injury
2008,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,F,5066.0,Injury
2008,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5059.0,Injury
2008,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,5058.0,Injury
2008,BRAZIL,Bahia,Guarajuba,Surfing,M,5057.0,Injury
2008,BRAZIL,Pernambuco,"Punta Del Chifre, Olinda",Surfing,M,5054.0,Injury
2008,SCOTLAND,Easter Ross,Balintore Bay,Fishing,0,5052.0,Injury
2008,BRAZIL,Pernambuco,"Piedade, Recife",Swimming,M,5050.0,Injury
2008,USA,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,M,5049.0,Injury
2008,MEXICO,Guerro,Playa Linda,Surfing,M,5047.0,Injury
2008,MEXICO,Guerro,Pantla Beach,Surfing,M,5046.0,Fatal
2008,AUSTRALIA,Western Australia,Albany,Swimming,M,5044.0,Injury
2008,NEW CALEDONIA,North Province,Hienghène,Fishing,M,5043.0,Injury
2008,SOUTH AFRICA,0,0,Fishing,M,5041.0,Injury
2008,MEXICO,Guerro,Troncones Beach,Surfing,M,5040.0,Fatal
2008,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5039.0,Injury
2008,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5038.0,Injury
2008,NEW CALEDONIA,North Province,Poindimié,Swimming,M,5037.0,Injury
2008,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5036.0,Injury
2008,USA,California,"Solana Beach, San Diego County",Swimming,M,5035.0,Fatal
2008,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,5034.0,Injury
